Subfield(s),Prompt ID,Test language(s),QUESTION,OPTION 1,OPTION 2,OPTION 3,OPTION 4,CORRECT ANSWER,"Question Accuracy: The way the question is worded is clear and unambiguous, so the correct answer could be clearly identified by an expert.","Correct Answer Factuality: Is the option identified as the correct answer factual and unambiguous? Click ""Yes"" if the correct answer does not need alterations.","Non-ambiguous answer choices:In the options presented, are there others that could be considered correct?",Prevalence of correct answer: State if the answer identified as correct is the most commonly accepted within this SME domain.,"Plausible distractors: A good question should have plausible distractors: it should not be too easy to guess the right answer, like what happens when the question and the right answer share the same word.
Example of not having plausible distractors: The medical term for inflammation of the eye's conjunctiva is ________.
A) Conjunctivitis        B) Keratitis
Example of having plausible distractors:
15. Inflammation of the joints is medically referred to as ________.
A) Osteoporosis        B) Arthritis        C) Bursitis        
D) Tendonitis

",Add any further comments regarding this question below. 
Clinical trials and clinical trial protocols,QB1,English,"1. What does the term ""randomization"" refer to in a clinical trial protocol?",A) The process of assigning patients to different treatment groups,B) The process of choosing which patients will participate in the trial,C) The process of deciding which treatments will be used in the trial,D) The process of analyzing the results of the trial,1,Yes,Yes,No,Yes,Yes,
Clinical trials and clinical trial protocols,QB1,English,"2. In a clinical trial, what is the purpose of a placebo?",A) To provide a control group for comparison with the treatment group,B) To provide a treatment for patients who do not want to receive the experimental drug,C) To provide a treatment for patients who are allergic to the experimental drug,D) To provide a treatment for patients who do not respond to the experimental drug,1,Yes,Yes,No,Yes,Yes,
Clinical trials and clinical trial protocols,QB1,English,3. What is the primary endpoint in a clinical trial?,A) The final data point collected in the trial,B) The main outcome that is measured to determine if the treatment is effective,C) The first data point collected in the trial,D) The main outcome that is measured to determine if the treatment is safe,2,Yes,Yes,No,Yes,Yes,
Clinical trials and clinical trial protocols,QB1,English,4. What is an adverse event in the context of a clinical trial?,A) An unexpected medical problem that occurs during the trial,B) A planned interruption in the trial,C) A significant change in the trial protocol,D) A successful outcome of the trial,1,Yes,Yes,No,Yes,Yes,
Clinical trials and clinical trial protocols,QB1,English,5. What is the role of an Institutional Review Board (IRB) in a clinical trial?,A) To conduct the trial,B) To fund the trial,C) To review and approve the trial protocol,D) To recruit patients for the trial,3,Yes,Yes,No,Yes,No,
Clinical trials and clinical trial protocols,QB1,English,"6. What does the term ""blinding"" refer to in a clinical trial?",A) The process of keeping the trial secret from the public,B) The process of keeping the trial secret from the patients,C) The process of keeping the trial secret from the investigators,D) The process of keeping certain trial participants unaware of the treatment assignments,4,Yes,Yes,Yes,Yes,Yes,Answer 2 also seems plausible
Clinical trials and clinical trial protocols,QB1,English,"7. What is a ""control group"" in a clinical trial?",A) A group of patients who are not given any treatment,B) A group of patients who are given a placebo,C) A group of patients who are given the standard treatment,D) It can be all of the above,4,Yes,Yes,No,Yes,Yes,
Clinical trials and clinical trial protocols,QB1,English,"8. What does ""informed consent"" mean in the context of a clinical trial?",A) The patient has been informed about the trial and has agreed to participate,B) The patient has been informed about the trial and has refused to participate,C) The patient has not been informed about the trial but has agreed to participate,D) The patient has not been informed about the trial and has refused to participate,1,Yes,Yes,No,Yes,Yes,
Clinical trials and clinical trial protocols,QB1,English,"9. What is a ""double-blind"" trial?",A) A trial in which neither the patients nor the investigators know which treatment is being administered,B) A trial in which both the patients and the investigators know which treatment is being administered,C) A trial in which only the patients know which treatment is being administered,D) A trial in which only the investigators know which treatment is being administered,1,Yes,Yes,No,Yes,Yes,
Clinical trials and clinical trial protocols,QB1,English,"10. What is the purpose of a ""washout period"" in a clinical trial?",A) To allow time for the treatment to take effect,B) To allow time for the treatment to be eliminated from the body,C) To allow time for the patients to rest between treatments,D) To allow time for the investigators to analyze the data,2,Yes,Yes,No,Yes,Yes,
Clinical trials and clinical trial protocols,QB1,English,"11. In a clinical trial, what is a ""crossover design""?",A) A design in which patients switch from one treatment to another during the trial,B) A design in which patients receive more than one treatment at the same time,C) A design in which patients receive different treatments in a random order,D) A design in which patients receive the same treatment throughout the trial,1,Yes,Yes,No,Yes,Yes,
Clinical trials and clinical trial protocols,QB1,English,"12. What is ""baseline data"" in a clinical trial?",A) Data collected before the trial begins,B) Data collected after the trial ends,C) Data collected during the trial,D) Data collected from previous trials,1,Yes,Yes,No,Yes,Yes,
