Subfield(s),Prompt ID,Test language(s),QUESTION,OPTION 1,OPTION 2,OPTION 3,OPTION 4,CORRECT ANSWER,"Question Accuracy: The way the question is worded is clear and unambiguous, so the correct answer could be clearly identified by an expert.","Correct Answer Factuality: Is the option identified as the correct answer factual and unambiguous? Click ""Yes"" if the correct answer does not need alterations.","Non-ambiguous answer choices:In the options presented, are there others that could be considered correct?",Prevalence of correct answer: State if the answer identified as correct is the most commonly accepted within this SME domain.,"Plausible distractors: A good question should have plausible distractors: it should not be too easy to guess the right answer, like what happens when the question and the right answer share the same word.
Example of not having plausible distractors: The medical term for inflammation of the eye's conjunctiva is ________.
A) Conjunctivitis        B) Keratitis
Example of having plausible distractors:
15. Inflammation of the joints is medically referred to as ________.
A) Osteoporosis        B) Arthritis        C) Bursitis        
D) Tendonitis

",Add any further comments regarding this question below.
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"1. What is the translation for ""Adverse event"" in European Portuguese?",A) Incidente adverso,B) Evento adverso,C) Acontecimento adverso ,D) Efeito colateral,3,Yes,Yes,No,Yes,Yes, 
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"2. True or False: ""Reações adversas a medicamentos"" is the correct translation for ""Adverse Drug Reactions.""",TRUE,FALSE,,,1,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"3. Fill in the blank: The term ""Blinding"" in a clinical study context translates to _______ in European Portuguese.",A) Cegamento,B) Ofuscação,C) Ocultação ,D) Encobrimento,3,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,4. How would you translate “Clinical research” into European Portuguese?,A) Investigação clínica ,B) Pesquisa clínica,C) Estudo médico-clínico,D) Investigação médica,1,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"5. What is the correct translation for ""Clinical research coordinator""?",A) Coordenador de investigação clínica,B) Coordenador de ensaios clínicos ,C) Coordenador de pesquisa médica,D) Gerente de estudos clínicos,2,Yes,Yes,Yes,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"6. True or False: ""Estudo clínico"" is the correct translation for ""Clinical study.""",TRUE,FALSE,,,1,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,7. Choose the correct translation for “Clinical trial”:,A) Teste clínico,B) Ensaio clínico,C) Experimento clínico,D) Julgamento clínico,2,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"8. Fill in the blank: _______ translates as ""Clinical trial monitoring"" in European Portuguese.",A) Supervisão de ensaios clínicos,B) Monitorização de ensaios clínicos,C) Monitorização de provas clinicas,D) Observação de testes clinicos,2,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,9. How do you say “Close-out Visit” in European Portuguese?,A ) Visita de conclusão,B ) Visita final,C ) Visita de encerramento ,D ) Visita de término,3,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,10. What is the European Portuguese term for “Contract research organization”?,A ) Empresa contratada para pesquisa,B ) Organização contratante para pesquisa,C ) Organização contratada para investigação científica,D ) Organização de pesquisa contratada,4,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,"11. True or False: ""Estudo duplo-cego"" correctly translates to “Double-blind study.”",TRUE,FALSE,,,1,Yes,Yes,No,Yes,Yes,
Terminology translation,QB4_en-pt_pt,English-European Portuguese,12. Choose the correct translation for “Follow-up visit”:,A ) Consulta subsequente,B ) Entrevista de seguimento ,C ) Visita subsequente,D ) Revisão posterior,2,Yes,No,Yes,No,Yes,
