Subfield(s),Prompt ID,Test language(s),QUESTION,OPTION 1,OPTION 2,OPTION 3,OPTION 4,CORRECT ANSWER,"Question Accuracy: The way the question is worded is clear and unambiguous, so the correct answer could be clearly identified by an expert.","Correct Answer Factuality: Is the option identified as the correct answer factual and unambiguous? Click ""Yes"" if the correct answer does not need alterations.","Non-ambiguous answer choices:In the options presented, are there others that could be considered correct?",Prevalence of correct answer: State if the answer identified as correct is the most commonly accepted within this SME domain.,"Plausible distractors: A good question should have plausible distractors: it should not be too easy to guess the right answer, like what happens when the question and the right answer share the same word.
Example of not having plausible distractors: The medical term for inflammation of the eye's conjunctiva is ________.
A) Conjunctivitis        B) Keratitis
Example of having plausible distractors:
15. Inflammation of the joints is medically referred to as ________.
A) Osteoporosis        B) Arthritis        C) Bursitis        
D) Tendonitis

",Add any further comments regarding this question below.
General Medical Information,QB2,English,1. Which term refers to the removal of a lung?,A) Nephrectomy,B) Pneumonectomy,,,2,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,2. What is the medical term for inflammation of the liver?,A) Hepatitis,B) Gastritis,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,3. Which condition is characterized by high blood sugar levels?,A) Diabetes Mellitus,B) Hypothyroidism,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,4. What does the term 'Myocardial Infarction' refer to?,A) Heart Attack,B) Stroke,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,5. Which term refers to the surgical removal of the appendix?,A) Appendectomy,B) Hysterectomy,,,1,Yes,Yes,No,Yes,No,
General Medical Information,QB2,English,6. What is the medical term for low blood pressure?,A) Hypertension,B) Hypotension,,,2,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,7. Which term refers to the inflammation of the kidneys?,A) Nephritis,B) Hepatitis,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,8. What is the medical term for an enlarged heart?,A) Cardiomegaly,B) Cardiomyopathy,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,9. Which condition is characterized by the loss of red blood cells?,A) Anemia,B) Leukemia,,,1,Yes,Yes,No,Yes,Yes,
General Medical Information,QB2,English,10. What does the term 'Dyspnea' refer to?,A) Difficulty in swallowing,B) Difficulty in breathing,,,2,Yes,Yes,No,Yes,Yes,
